###ÄNSI###

hold_bonfire;Hold a Great Bonfire;Tenir un grand blót ;Haltet ein Blót ab;;Celebrar una Gran Mancha;;;;;;;;;x
EVTDESC_bonfire_605;The time has come for the bonfire held by [From.GetTitledFirstName] to begin! You gather around the square, and before you is a table of material to great Effigies of the Enemies to sacrifice to the Queen and the heros of Albion. You witness the ashen gray powder laid upon the alter awaiting for the judgement of the Queen, you await with great excitement.;Il est temps de commencer le blót tenu par [From.Get_le_Title][From.GetTitledFirstName] ! Vous vous rassemblez devant le temple et commencez par offrir des animaux en sacrifice aux dieux. Tandis qu'on prépare leur viande pour le festin qui doit suivre, on arrose de leur sang les statues d'Odin, de Thor, de Freyr et des autres dieux, ainsi que les adorateurs eux-mêmes.;Die Zeit für das von [From.GetTitledFirstName] veranstaltete Blót ist gekommen! Alle versammeln sich außerhalb des Tempels und man beginnt mit den Tieropfern an die Götter. Während ihr Fleisch für das nachfolgende Gelage vorbereitet wird, wird ihr Blut auf die Statuen von Odin, Thor, Freyr und die anderen Götter gespritzt und auch auf die Betenden selbst.;;¡Ha llegado el momento de empezar la mancha celebrada por [From.GetTitledFirstName]!. Te reúnes fuera del templo, y comienzas ofreciendo animales como sacrificio a los dioses. Mientras se prepara la carne para la fiesta que va a seguir, la sangre salpica las estatuas de Odín, Thor, Freyr y los otros dioses, así como a los mismísimos fieles.;;;;;;;;;x
EVTDESC_bonfire_610;The figures of traitorous nobles, rebellious clerics, and foreign warlords now stand in crude effigy in the square arranged around a monstrous pile of dry lumber and snarled flotsam. Drunken revellers in soot stained costumes hurl torches onto the mound and the grotesque effigies, soon all is garbed in flame, and her Majestys enemies fall into ash and embers once again.;On escorte [From.Get_le_Title][From.GetTitledFirstName] depuis les cachots jusqu'au temple. On lui passe la corde autour du cou, attachée à la branche solide d'un chêne à proximité. Une petite flaque jaunâtre se forme à ses pieds.;[From.GetTitledFirstName] wird aus Eurem Verlies geholt und zum Tempel eskortiert. Eine Schlinge wird um [From.GetHerHis]en Hals gelegt und das Seil an einem stabilen Ast einer Eiche befestigt. Eine kleine gelbliche Pfütze bildet sich unter [From.GetFirstName]s Füßen.;;[From.GetTitledFirstName] es traído de tu mazmorra y escoltado al templo. Se coloca una soga alrededor de [From.GetHerHis] cuello y la cuerda se lanza sobre una gruesa rama de un roble cercano. Se forma una pequeña piscina de color amarillo a los pies de [From.GetFirstName].;;;;;;;;;x
EVTOPT_bonfire_610;"Remember remember...";Père de tous, nous t'offrons ce sacrifice...;Allvater, wir bieten dir dieses Opfer an...;;Padre de Todos, te ofrecemos este sacrificio...;;;;;;;;;x
EVTDESC_bonfire_640;With the bonfire kindling down, the feast at the end of the bonfire can now begin. A splendid array of dishes have already been prepared by the best cooks of the realm, and there is plenty of mead to go around.;Le sacrifice étant terminé, le banquet de la fin du blót peut maintenant commencer. La viande des animaux sacrifiés a été cuisinée et l'hydromel coule à flots.;Da die Opferung vorbei ist, kann die Feier am Ende des Blót beginnen. Das Fleisch der Opfertiere wurde bereits zubereitet und es gibt jede Menge goldenen Met.;;Cuando acaba el sacrificio, la fiesta por el fin de la mancha empieza. La carne de los animales que fueron sacrificados ya está preparada, y hay mucha aguamiel para todos.;;;;;;;;;x
EVTOPTA_bonfire_640;Let the celebrations begin!;Que la fête commence !;Lasst die Feier beginnen!;;¡Que empiecen las celebraciones!;;;;;;;;;x
EVTDESC_bonfire_642;The feast is over and with it the bonfire. It will be at least nine years until you hold the next one, but as your vassals return home, most seem to agree that the ceremony was well worth the trip.;Le banquet est terminé, et le blót par le fait même. Il s'écoulera neuf années avant que vous teniez le prochain. Néanmoins, alors que vos vassaux reprennent la route, la plupart s'accordent pour dire que la cérémonie valait le déplacement.;Die Feier ist vorbei und damit auch das Blót. Frühestens in neun Jahren könnt Ihr das nächste veranstalten, doch die meisten Eurer nach Hause zurückkehrenden Vasallen meinen, dass die Zeremonie die Reise wert war.;;La fiesta se acaba, y con ella la mancha. Pasarán por lo menos 9 años hasta que celebres la siguiente, pero mientras tus vasallos regresan a casa, la mayoría está de acuerdo en que valió la pena hacer el viaje por la ceremonia.;;;;;;;;;x
EVTOPTA_bonfire_642;A night to remember!.;;;;;;;;;x
EVTDESC_bonfire_643;The feast is over and with it the bonfire. It will be at least nine years until your liege holds the next one, but as you and the other vassals return home, most seem to agree that the ceremony was well worth the trip.;Le banquet est terminé, et le blót par le fait même. Il s'écoulera neuf années avant que votre [Root.Liege.GetLordLady] lige organise le prochain, néanmoins, alors que vous et les autres vassaux reprenez la route, la plupart s'accordent pour dire que la cérémonie valait le déplacement.;Die Feier ist vorbei und damit auch das Blót. Frühestens in neun Jahren wird der Lehnsherr das nächste veranstalten, doch Ihr und die meisten der nach Hause zurückkehrenden Vasallen meinen, dass die Zeremonie die Reise wert war.;;La fiesta se acaba, y con ella la mancha. Pasarán por lo menos 9 años hasta que tu señor celebre la siguiente, pero mientras tú y tus vasallos regresáis a casa, la mayoría estáis de acuerdo en que valió la pena hacer el viaje por la ceremonia.;;;;;;;;;x
opinion_held_bonfire;Held Bonfire;Blót tenu ;Hat Blót veranstaltet;;Mancha Realizada;;;;;;;;;x
opinion_homosexual_sympathy;Sympathetic to Sexual Preferences;Compréhension envers mes préférences sexuelles;Verständnisvoll gegenüber sexueller Vorlieben;;Comprensivo con Preferencias Sexuales;;;;;;;;;x
opinion_refused_bonfire;Refused to Give Offering for Bonfire;Refus de donner une offrande au blót ;hat sich geweigert, ein Opfer für Blót darzubringen;;Se negó a dar Ofrenda para la Mancha;;;;;;;;;x
CHRONICLE_HELD_BLOT;[Root.GetTitledName] held a great bonfire at [Root.Location.GetName].;[Root.Get_Le_Title][Root.GetTitledName] a organisé un grand blót à [Root.Location.GetName].;[Root.GetTitledName] veranstaltete in [Root.Location.GetName] ein großes Opferfest.;;[Root.GetTitledName] tuvo una gran tacha [Root.Location.GetName].;;;;;;;;;x
opinion_spared_at_bonfire;Spared at Bonfire;Épargné du blót;Beim Blót verschont;;Sobrado de mancha;;;;;;;;;x
EVTOPTA_bonfire_612_Caliph;You will die for your faith, [From.GetBestName]!;Vous ne reposerez pas en paix, [From.GetBestName] !;Ihr sollt keinen Frieden kennen, [From.GetBestName]!;;¡No recaerá la paz sobre ti, [From.GetBestName]!;;;;;;;;;x

EVTOPTA_bonfire_636;How dare they!.;;;;;;;;;x

EVTDESC_gg;After reclaiming the ancient royal cities of the Colonies the British invaders have declared a new Governor General to rule these lands at the command of Victoria Gloriana.;;;;;;;;;x
EVTOPTA_gg;God Save the Queen!;;;;;;;;;x
EVTOPTB_gg;Accursed Heathens!;;;;;;;;;x
EVTOPTC_gg;Interesting.;;;;;;;;;x
EVTOPTD_gg;God Save the Queen!;;;;;;;;;x

become_gg;Become Governor General;;;;;;;;;x
